Question,Answer
Co je orientovaný graf (dvojice)?,"Orientovaný graf G = (V, E) je dvojice, kde V je konečná neprázdná množina a E ⊆ V × V (orientované hrany)."
Co je orientovaný graf (trojice)?,"Orientovaný graf G = (V, E, ε), kde V je konečná neprázdná množina vrcholů, E je disjunktní množina názvů hran a ε je zobrazení incidence: ε: E → V × V."
Co je vstupní stupeň vrcholu?,"Počet hran, pro které je vrchol u koncový."
Co je výstupní stupeň vrcholu?,"Počet hran, pro které je vrchol u počáteční."
Jaký je celkový stupeň vrcholu?,"Stupeň vrcholu d(v) = din(v) + dout(v), kde din a dout jsou vstupní a výstupní stupně."
Co je orientovaný sled?,"Posloupnost v0 e1 v1 e2...en vn, kde pro každé i, 1 ≤ i ≤ n, platí ei = (vi-1, vi)."
Co je neorientovaný sled?,"Posloupnost v0 e1 v1 e2...en vn, kde pro každé i, 1 ≤ i ≤ n, platí ei = (vi-1, vi) nebo ei = (vi, vi-1)."
Co je kořen orientovaného grafu?,"Vrchol v, ze kterého vede orientovaná cesta do každého vrcholu grafu."
Co je kořenový strom?,"Orientovaný graf, který je stromem a má kořen."
Kdy je orientovaný graf acyklický?,"Orientovaný graf je acyklický, pokud neobsahuje žádný cyklus (včetně smyček)."
Co je topologické uspořádání vrcholů?,"Uspořádání vrcholů do posloupnosti v1,...,vn tak, že pro každou hranu e=(vi,vj) platí i < j."
Co je zdroj grafu?,"Vrchol v, pro který platí din(v) = 0."
Co je výlevka grafu?,"Vrchol v, pro který platí dout(v) = 0."
Co je jádro orientovaného grafu?,"Množina vrcholů K⊆V, kde: 1) mezi vrcholy K není žádná hrana, 2) z každého vrcholu ve V∖K vede hrana do nějakého vrcholu v K."
Kdy je orientovaný graf silně souvislý?,"Orientovaný graf je silně souvislý, pokud mezi každými dvěma vrcholy existuje orientovaná cesta."
Kdy je graf silně souvislý podle hrany?,"Graf je silně souvislý, právě když je souvislý a každá hrana leží v nějakém cyklu."
Co je komponenta silné souvislosti grafu?,Každý maximální silně souvislý podgraf grafu.
Co je kondenzace orientovaného grafu?,"Graf G', který má za vrcholy komponenty silné souvislosti grafu G a hrany (K1, K2) ∈ E', pokud existuje hrana (v, w) ∈ E, kde v ∈ K1 a w ∈ K2."
